0.623,0.083,0.287,5.040
0.591,0.199,0.553,4.536
0.749,0.057,0.553,7.287
0.711,0.027,0.649,7.014
0.741,0.093,0.649,7.602
0.593,0.090,0.649,6.027
0.507,0.290,0.277,4.809
0.540,0.477,0.277,5.691
0.428,0.777,0.277,3.465
0.505,0.420,0.277,3.969
0.582,0.513,0.277,3.150
0.506,0.314,0.277,3.969
0.481,0.381,0.277,4.557
0.494,0.174,0.894,4.284
0.524,0.230,0.894,3.822
0.470,0.180,0.894,4.179
0.491,0.128,0.894,4.851
0.502,0.353,0.894,3.675
0.392,0.270,0.894,4.242
0.448,0.258,0.894,3.822
0.415,0.529,0.894,2.856
0.497,0.329,0.894,4.116
0.534,0.465,0.894,3.192
0.466,0.497,0.894,3.045
0.489,0.398,0.894,3.276
0.421,0.404,0.894,2.919
0.466,0.356,0.894,3.486
0.514,0.425,0.894,3.108
0.607,0.301,0.894,3.864
0.644,0.278,0.894,4.410
0.445,0.573,0.894,2.667
0.519,0.307,0.894,3.045
0.494,0.715,0.894,2.772
0.442,0.455,0.894,2.751
0.524,0.510,0.894,2.835
0.490,0.214,0.702,3.969
0.471,0.262,0.702,4.200
0.473,0.189,0.702,4.410
0.497,0.226,0.702,5.187
0.627,0.065,0.606,6.468
0.716,0.000,0.606,7.329
0.663,0.079,0.564,5.586
0.539,0.106,0.564,5.313
0.548,0.152,0.564,5.187
0.519,0.210,0.564,4.452
0.438,0.229,0.564,4.053
0.460,0.338,0.564,4.200
0.510,0.467,0.564,3.486
0.380,0.801,0.564,3.024
0.422,0.395,0.564,4.074
0.497,0.319,0.447,4.137
0.528,0.207,0.447,4.305
0.610,0.092,0.447,5.250
0.504,0.179,0.447,4.914
0.481,0.356,0.904,3.969
0.762,0.079,0.564,7.434
0.583,0.105,0.500,5.187
0.673,0.055,0.266,6.636
0.534,0.136,0.755,4.893
0.489,0.201,0.755,4.116
0.451,0.310,0.755,3.927
0.497,0.346,0.755,3.360
0.599,0.132,0.755,4.662
0.662,0.209,0.755,5.250
0.732,0.169,0.638,6.930
0.564,0.075,0.372,4.935
0.460,0.230,0.372,4.074
0.479,0.170,0.670,4.620
0.420,0.309,0.670,3.654
0.480,0.189,0.670,4.389
0.590,0.132,0.702,5.082
0.496,0.220,0.702,4.557
0.518,0.098,0.702,4.788
0.555,0.154,0.702,4.914
0.561,0.133,0.649,5.061
0.563,0.193,0.649,4.494
0.562,0.278,0.649,4.200
0.533,0.230,0.649,4.368
0.552,0.288,0.649,4.452
0.478,0.198,0.649,4.263
0.655,0.092,0.681,5.880
0.632,0.146,0.681,5.019
0.567,0.132,0.681,5.208
0.539,0.154,0.681,4.809
0.585,0.212,0.628,5.019
0.634,0.126,0.628,5.586
0.507,0.302,0.628,4.725
0.529,0.179,0.628,4.662
0.712,0.098,0.553,4.956
0.727,0.103,0.553,6.027
0.590,0.190,0.553,4.746
0.588,0.173,0.553,4.620
0.596,0.172,0.596,4.809
0.548,0.118,0.596,5.250
0.556,0.239,0.596,4.326
0.633,0.130,0.574,5.964
0.538,0.260,0.574,4.494
0.932,0.062,0.574,8.127
0.881,0.044,0.574,9.198
0.797,0.117,0.574,6.972
0.655,0.207,0.883,5.775
0.666,0.158,0.883,5.565
0.588,0.240,0.883,3.906
0.533,0.318,0.883,4.053
0.539,0.288,0.883,4.221
0.473,0.403,0.883,4.095
0.470,0.463,0.883,4.095
0.530,0.336,0.883,4.284
0.602,0.286,0.883,4.158
0.552,0.377,0.883,4.074
0.545,0.306,0.883,4.557
0.652,0.227,0.553,4.788
0.486,0.395,0.553,3.948
0.523,0.420,0.553,3.927
0.557,0.235,0.553,3.885
0.489,0.383,0.553,3.843
0.541,0.280,0.553,4.452
0.509,0.231,0.553,4.032
0.478,0.372,0.553,4.284
0.449,0.323,0.553,4.053
0.477,0.344,0.691,4.620
0.505,0.341,0.691,4.263
0.496,0.443,0.691,4.305
0.474,0.651,0.691,3.633
